"Chr","source","type","start","end","V6","V7","V8","gene.hit","RefSeq.Protein.Accession"
"chr14","blastx","protein_match",16161957,16162562,"460","-",".","ID=chr14:hit:12213:3.10.0.161;Name=XP_030126614.2","XP_030126614.2"
"chr14","blastx","protein_match",16161954,16162571,"849","-",".","ID=chr14:hit:12214:3.10.0.161;Name=XP_030140321.1","XP_030140321.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12215:3.10.0.161;Name=XP_032605050.1","XP_032605050.1"
"chr14","blastx","protein_match",16161954,16162571,"1089","-",".","ID=chr14:hit:12216:3.10.0.161;Name=XP_030140620.2","XP_030140620.2"
"chr14","blastx","protein_match",16161954,16162571,"863","-",".","ID=chr14:hit:12217:3.10.0.161;Name=XP_030143240.1","XP_030143240.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12218:3.10.0.161;Name=XP_030132023.2","XP_030132023.2"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12219:3.10.0.161;Name=XP_030132024.2","XP_030132024.2"
"chr14","blastx","protein_match",16161957,16162571,"463","-",".","ID=chr14:hit:12220:3.10.0.161;Name=XP_030123628.1","XP_030123628.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12221:3.10.0.161;Name=XP_030132026.2","XP_030132026.2"
"chr14","blastx","protein_match",16161957,16162571,"463","-",".","ID=chr14:hit:12222:3.10.0.161;Name=XP_030123629.1","XP_030123629.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12223:3.10.0.161;Name=XP_030132027.2","XP_030132027.2"
"chr14","protein2genome","protein_match",16128387,16140543,"5370","+",".","ID=chr14:hit:12225:3.10.0.161;Name=XP_030141126.2","XP_030141126.2"
"chr14","protein2genome","protein_match",16128387,16140543,"5370","+",".","ID=chr14:hit:12226:3.10.0.161;Name=XP_030141127.2","XP_030141127.2"
"chr14","protein2genome","protein_match",16128387,16140543,"5370","+",".","ID=chr14:hit:12227:3.10.0.161;Name=XP_030141128.2","XP_030141128.2"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12228:3.10.0.161;Name=XP_002191972.2","XP_002191972.2"
"chr14","protein2genome","protein_match",16161954,16162571,"864","-",".","ID=chr14:hit:12229:3.10.0.161;Name=XP_002195131.4","XP_002195131.4"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12230:3.10.0.161;Name=XP_032605049.1","XP_032605049.1"
"chr14","protein2genome","protein_match",16161957,16162562,"407","-",".","ID=chr14:hit:12231:3.10.0.161;Name=XP_030126614.2","XP_030126614.2"
"chr14","protein2genome","protein_match",16161954,16162571,"856","-",".","ID=chr14:hit:12232:3.10.0.161;Name=XP_030140321.1","XP_030140321.1"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12233:3.10.0.161;Name=XP_032605050.1","XP_032605050.1"
"chr14","protein2genome","protein_match",16161954,16162571,"1079","-",".","ID=chr14:hit:12234:3.10.0.161;Name=XP_030140620.2","XP_030140620.2"
"chr14","protein2genome","protein_match",16161954,16162571,"864","-",".","ID=chr14:hit:12235:3.10.0.161;Name=XP_030143240.1","XP_030143240.1"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12236:3.10.0.161;Name=XP_030132023.2","XP_030132023.2"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12237:3.10.0.161;Name=XP_030132024.2","XP_030132024.2"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12238:3.10.0.161;Name=XP_030132026.2","XP_030132026.2"
"chr14","protein2genome","protein_match",16161957,16162571,"401","-",".","ID=chr14:hit:12239:3.10.0.161;Name=XP_030132027.2","XP_030132027.2"
"chr19","blastx","protein_match",7117317,7142724,"210","+",".","ID=chr19:hit:481:3.10.0.71;Name=XP_030143882.1","XP_030143882.1"
"chr19","blastx","protein_match",7117305,7142724,"206","+",".","ID=chr19:hit:482:3.10.0.71;Name=XP_002192841.4","XP_002192841.4"
"chr19","blastx","protein_match",7147133,7155488,"204","-",".","ID=chr19:hit:483:3.10.0.71;Name=XP_030143883.2","XP_030143883.2"
"chr19","blastx","protein_match",7157006,7158898,"253","+",".","ID=chr19:hit:484:3.10.0.71;Name=XP_032607656.1","XP_032607656.1"
"chr19","blastx","protein_match",7167329,7173986,"440","-",".","ID=chr19:hit:485:3.10.0.71;Name=XP_030143685.2","XP_030143685.2"
"chr19","blastx","protein_match",7167338,7173989,"153","-",".","ID=chr19:hit:486:3.10.0.71;Name=XP_030126716.1","XP_030126716.1"
"chr19","blastx","protein_match",7167329,7173989,"176","-",".","ID=chr19:hit:487:3.10.0.71;Name=XP_032602099.1","XP_032602099.1"
"chr19","blastx","protein_match",7167329,7173989,"176","-",".","ID=chr19:hit:488:3.10.0.71;Name=XP_032602100.1","XP_032602100.1"
"chr19","blastx","protein_match",7167329,7173989,"176","-",".","ID=chr19:hit:489:3.10.0.71;Name=XP_032602101.1","XP_032602101.1"
"chr19","blastx","protein_match",7167329,7173989,"176","-",".","ID=chr19:hit:490:3.10.0.71;Name=XP_032602102.1","XP_032602102.1"
"chr19","protein2genome","protein_match",7117317,7142724,"4015","+",".","ID=chr19:hit:500:3.10.0.71;Name=XP_030143882.1","XP_030143882.1"
"chr19","protein2genome","protein_match",7117305,7142724,"4010","+",".","ID=chr19:hit:501:3.10.0.71;Name=XP_002192841.4","XP_002192841.4"
"chr19","protein2genome","protein_match",7146778,7155488,"3222","-",".","ID=chr19:hit:502:3.10.0.71;Name=XP_030143883.2","XP_030143883.2"
"chr19","protein2genome","protein_match",7157006,7158898,"816","+",".","ID=chr19:hit:503:3.10.0.71;Name=XP_032607656.1","XP_032607656.1"
"chr19","protein2genome","protein_match",7167329,7173986,"2681","-",".","ID=chr19:hit:504:3.10.0.71;Name=XP_030143685.2","XP_030143685.2"
"chr19","protein2genome","protein_match",7168841,7173989,"875","-",".","ID=chr19:hit:505:3.10.0.71;Name=XP_030126716.1","XP_030126716.1"
"chr26","blastx","protein_match",2207381,2218891,"213","+",".","ID=chr26:hit:128:3.10.0.21;Name=XP_030139969.1","XP_030139969.1"
"chr26","blastx","protein_match",2206450,2218891,"122","+",".","ID=chr26:hit:129:3.10.0.21;Name=XP_030139968.1","XP_030139968.1"
"chr26","blastx","protein_match",2199732,2225805,"396","+",".","ID=chr26:hit:130:3.10.0.21;Name=XP_030147729.1","XP_030147729.1"
"chr26","blastx","protein_match",2199732,2218891,"220","+",".","ID=chr26:hit:131:3.10.0.21;Name=XP_030135518.1","XP_030135518.1"
"chr26","blastx","protein_match",2199732,2218891,"220","+",".","ID=chr26:hit:132:3.10.0.21;Name=XP_030135516.1","XP_030135516.1"
"chr26","blastx","protein_match",2199732,2218891,"220","+",".","ID=chr26:hit:133:3.10.0.21;Name=XP_030135517.1","XP_030135517.1"
"chr26","blastx","protein_match",2199732,2218891,"213","+",".","ID=chr26:hit:134:3.10.0.21;Name=XP_030139966.1","XP_030139966.1"
"chr26","protein2genome","protein_match",2199729,2220157,"2309","+",".","ID=chr26:hit:136:3.10.0.21;Name=XP_030147729.1","XP_030147729.1"
"chr26","protein2genome","protein_match",2199732,2218891,"761","+",".","ID=chr26:hit:137:3.10.0.21;Name=XP_030135518.1","XP_030135518.1"
"chr26","protein2genome","protein_match",2199732,2218891,"761","+",".","ID=chr26:hit:138:3.10.0.21;Name=XP_030135516.1","XP_030135516.1"
"chr26","protein2genome","protein_match",2199732,2218891,"761","+",".","ID=chr26:hit:139:3.10.0.21;Name=XP_030135517.1","XP_030135517.1"
"chr27","blastx","protein_match",4019325,4025855,"139","+",".","ID=chr27:hit:314:3.10.0.40;Name=XP_004186158.2","XP_004186158.2"
"chr27","blastx","protein_match",4018130,4025855,"154","+",".","ID=chr27:hit:315:3.10.0.40;Name=XP_030111798.2","XP_030111798.2"
"chr27","blastx","protein_match",4028308,4029660,"238","-",".","ID=chr27:hit:316:3.10.0.40;Name=XP_012427167.1","XP_012427167.1"
"chr27","blastx","protein_match",4028308,4029660,"238","-",".","ID=chr27:hit:317:3.10.0.40;Name=XP_012427168.1","XP_012427168.1"
"chr27","blastx","protein_match",4027962,4032130,"168","-",".","ID=chr27:hit:318:3.10.0.40;Name=XP_030112116.2","XP_030112116.2"
"chr27","blastx","protein_match",4034194,4038529,"272","+",".","ID=chr27:hit:319:3.10.0.40;Name=XP_030112106.2","XP_030112106.2"
"chr27","blastx","protein_match",4035060,4038433,"296","+",".","ID=chr27:hit:320:3.10.0.40;Name=XP_032604835.1","XP_032604835.1"
"chr27","blastx","protein_match",4034194,4038529,"263","+",".","ID=chr27:hit:321:3.10.0.40;Name=XP_030112107.2","XP_030112107.2"
"chr27","blastx","protein_match",4035120,4038433,"289","+",".","ID=chr27:hit:322:3.10.0.40;Name=XP_030145454.1","XP_030145454.1"
"chr27","blastx","protein_match",4034194,4038529,"271","+",".","ID=chr27:hit:323:3.10.0.40;Name=XP_030112104.2","XP_030112104.2"
"chr27","blastx","protein_match",4034194,4038529,"271","+",".","ID=chr27:hit:324:3.10.0.40;Name=XP_030112105.2","XP_030112105.2"
"chr27","blastx","protein_match",4042647,4044251,"2866","-",".","ID=chr27:hit:325:3.10.0.40;Name=XP_030112102.2","XP_030112102.2"
"chr27","blastx","protein_match",4046688,4069084,"187","-",".","ID=chr27:hit:326:3.10.0.40;Name=XP_030112096.1","XP_030112096.1"
"chr27","blastx","protein_match",4046688,4069084,"187","-",".","ID=chr27:hit:327:3.10.0.40;Name=XP_030112097.1","XP_030112097.1"
"chr27","blastx","protein_match",4046688,4069084,"187","-",".","ID=chr27:hit:328:3.10.0.40;Name=XP_030112098.1","XP_030112098.1"
"chr27","blastx","protein_match",4046688,4069084,"187","-",".","ID=chr27:hit:329:3.10.0.40;Name=XP_030112095.1","XP_030112095.1"
"chr27","protein2genome","protein_match",4019355,4025424,"1468","+",".","ID=chr27:hit:334:3.10.0.40;Name=XP_004186158.2","XP_004186158.2"
"chr27","protein2genome","protein_match",4018130,4025855,"2685","+",".","ID=chr27:hit:335:3.10.0.40;Name=XP_030111798.2","XP_030111798.2"
"chr27","protein2genome","protein_match",4018130,4023991,"797","+",".","ID=chr27:hit:336:3.10.0.40;Name=XP_030111798.2","XP_030111798.2"
"chr27","protein2genome","protein_match",4027971,4029660,"493","-",".","ID=chr27:hit:337:3.10.0.40;Name=XP_012427167.1","XP_012427167.1"
"chr27","protein2genome","protein_match",4027971,4029660,"493","-",".","ID=chr27:hit:338:3.10.0.40;Name=XP_012427168.1","XP_012427168.1"
"chr27","protein2genome","protein_match",4027962,4032130,"1222","-",".","ID=chr27:hit:339:3.10.0.40;Name=XP_030112116.2","XP_030112116.2"
"chr27","protein2genome","protein_match",4034194,4038529,"2845","+",".","ID=chr27:hit:340:3.10.0.40;Name=XP_030112106.2","XP_030112106.2"
"chr27","protein2genome","protein_match",4034194,4038529,"2638","+",".","ID=chr27:hit:341:3.10.0.40;Name=XP_030112107.2","XP_030112107.2"
"chr27","protein2genome","protein_match",4035120,4037026,"577","+",".","ID=chr27:hit:342:3.10.0.40;Name=XP_030145454.1","XP_030145454.1"
"chr27","protein2genome","protein_match",4034194,4038529,"3142","+",".","ID=chr27:hit:343:3.10.0.40;Name=XP_030112104.2","XP_030112104.2"
"chr27","protein2genome","protein_match",4034194,4038529,"3040","+",".","ID=chr27:hit:344:3.10.0.40;Name=XP_030112105.2","XP_030112105.2"
"chr27","protein2genome","protein_match",4042647,4044254,"2806","-",".","ID=chr27:hit:345:3.10.0.40;Name=XP_030112102.2","XP_030112102.2"
"chr27","protein2genome","protein_match",4046688,4052705,"2870","-",".","ID=chr27:hit:346:3.10.0.40;Name=XP_030112096.1","XP_030112096.1"
"chr27","protein2genome","protein_match",4046688,4052705,"2870","-",".","ID=chr27:hit:347:3.10.0.40;Name=XP_030112097.1","XP_030112097.1"
"chr27","protein2genome","protein_match",4046688,4052705,"2870","-",".","ID=chr27:hit:348:3.10.0.40;Name=XP_030112098.1","XP_030112098.1"
"chr27","protein2genome","protein_match",4046688,4052705,"2870","-",".","ID=chr27:hit:349:3.10.0.40;Name=XP_030112095.1","XP_030112095.1"
