"Image Name","BW15004_f1_2"
"Created Date","	6/8/2023 5:19:36 PM"
"Specimen","BW15004_f1"
"Description","feather 1 of BW15004"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"27","","Segment","b6","clear segment","0.161919528935","0.149239873958","0.062812370370","0.161919528935"
"28","","Segment","b7","clear segment","0.186236456021","0.168876699479","0.078515462963","0.186236456021"
"29","","Segment","b7","clear segment","0.035124574066","0.031418920833","0.015703092593","0.035124574066"
"30","","Segment","b7","clear segment","0.033553745538","0.031418920833","0.011777319444","0.033553745538"
"31","","Segment","b7","clear segment","0.059431397662","0.058910476563","0.007851546296","0.059431397662"
"32","","Segment","b7","clear segment","0.031663232323","0.031418920833","0.003925773148","0.031663232323"
"33","","Segment","b7","clear segment","1.010807438976","0.993623371354","0.176659791667","1.009205670858"
"34","","Segment","b7","black segment","0.086758042644","0.086402032292","0.007851546296","0.086758042644"
"35","","Segment","b7","clear segment","0.058910476563","0.058910476563","0.000000000000","0.058910476563"
"36","","Segment","b7","black segment","2.257136312476","2.230743379167","0.282655666667","2.247606132815"
"37","","Segment","b7","black segment","0.058381802952","0.054983111458","0.019628865741","0.058381802952"
"38","","Segment","b7","black segment","0.466958432160","0.443792256771","0.145253606481","0.466958432160"
"39","","Segment","b7","black segment","0.067107491076","0.062837841667","0.023554638889","0.067107491076"
"40","","Segment","b7","black segment","0.166431387788","0.157094604167","0.054960824074","0.166431387788"
"41","","Segment","b7","black segment","0.887271228694","0.785473020833","0.412206180556","0.887063583823"
"42","","Segment","b8","black segment","0.527139036407","0.439864891667","0.290507212963","0.527139036407"
"43","","Segment","b8","black segment","0.081712158752","0.066765206771","0.047109277778","0.081712158752"
"44","","Segment","b8","black segment","0.111139410694","0.094256762500","0.058886597222","0.111139410694"
"45","","Segment","b8","black segment","0.317895652202","0.282770287500","0.145253606481","0.317895652202"
"46","","Segment","b8","black segment","0.024837831207","0.023564190625","0.007851546296","0.024837831207"
"47","","Segment","b8","black segment","0.031660270899","0.027491555729","0.015703092593","0.031660270899"
"48","","Segment","b8","black segment","0.504806585580","0.471283812500","0.180585564815","0.504697511529"
"49","","Segment","b8","black segment","2.629917697465","2.592060968750","0.345468037037","2.612953306950"
"50","","Segment","b8","clear segment","1.028645746674","1.013260196875","0.164882472222","1.026587773265"
"51","","Segment","b8","clear segment","0.052686861099","0.047128381250","0.023554638889","0.052686861099"
"52","","Segment","b8","clear segment","0.102401188309","0.086402032292","0.054960824074","0.102401188309"
"53","","Segment","b8","clear segment","0.056227308747","0.051055746354","0.023554638889","0.056227308747"
"54","","Segment","b8","clear segment","0.079030291648","0.070692571875","0.035331958333","0.079030291648"
"55","","Segment","b8","clear segment","0.038677474666","0.035346285938","0.015703092593","0.038677474666"
"56","","Segment","b8","clear segment","0.058381802952","0.054983111458","0.019628865741","0.058381802952"
"57","","Segment","b8","clear segment","0.049675662413","0.047128381250","0.015703092593","0.049675662413"
"58","","Segment","b9","clear segment","0.738843055219","0.726562544271","0.129550513889","0.738021995869"
"59","","Segment","b9","clear segment","0.155362012896","0.149239873958","0.043183504630","0.155362012896"
"60","","Segment","b9","clear segment","0.205752051070","0.188513525000","0.082441236111","0.205752051070"
"61","","Segment","b9","clear segment","0.152802554660","0.137457778646","0.066738143519","0.152802554660"
"62","","Segment","b9","clear segment","0.056227308747","0.051055746354","0.023554638889","0.056227308747"
"63","","Segment","b9","clear segment","0.042296652150","0.039273651042","0.015703092593","0.042296652150"
"64","","Segment","b9","clear segment","0.036202301717","0.027491555729","0.023554638889","0.036202301717"
"65","","Segment","b9","clear segment","0.329940939299","0.259206096875","0.204140203704","0.329940939299"
"66","","Segment","b9","black segment","0.555617245556","0.432010161458","0.349393810185","0.555615707300"
"67","","Segment","b9","black segment","0.074092940463","0.062837841667","0.039257731481","0.074092940463"
"68","","Segment","b9","black segment","0.178619285733","0.149239873958","0.098144328704","0.178619285733"
"69","","Segment","b9","black segment","0.084951302350","0.070692571875","0.047109277778","0.084951302350"
"70","","Segment","b9","black segment","0.040430833529","0.035346285937","0.019628865741","0.040430833529"
"71","","Segment","b9","black segment","0.063320541797","0.054983111458","0.031406185185","0.063320541797"
"72","","Segment","b9","black segment","0.154709898664","0.141385143750","0.062812370370","0.154709898664"
"73","","Segment","b9","black segment","2.924371888162","2.878758621354","0.400428861111","2.902816174973"
"74","","Segment","b10","black segment","0.035346285937","0.035346285937","0.000000000000","0.035346285937"
"75","","Segment","b10","black segment","0.620842520160","0.620523686458","0.019628865741","0.620834066258"
"76","","Segment","b10","black segment","1.507274730247","1.484544009375","0.251249481481","1.505655079265"
"77","","Segment","b10","black segment","0.350648677053","0.337753398958","0.094218555556","0.350648677053"
"78","","Segment","b10","black segment","0.065832261966","0.062837841667","0.019628865741","0.065832261966"
"79","","Segment","b10","black segment","0.063320541797","0.054983111458","0.031406185185","0.063320541797"
"80","","Segment","b10","black segment","0.080861667058","0.070692571875","0.039257731481","0.080861667058"
"81","","Segment","b10","black segment","0.519817294183","0.384881780208","0.349393810185","0.519817294183"
"82","","Segment","b10","clear segment","0.449437458711","0.447719621875","0.039257731481","0.449437458711"
"83","","Segment","b10","clear segment","0.051206453994","0.051055746354","0.003925773148","0.051206453994"
"84","","Segment","b10","clear segment","0.060076197467","0.058910476563","0.011777319444","0.060076197467"
"85","","Segment","b10","clear segment","0.072199486708","0.066765206771","0.027480412037","0.072199486708"
"86","","Segment","b10","clear segment","0.206390692646","0.192440890104","0.074589689815","0.206390692646"
"87","","Segment","b10","clear segment","0.526045354953","0.479138542708","0.215917523148","0.525541739457"
"88","","Segment","b10","clear segment","0.353346409170","0.302407113021","0.180585564815","0.352223236350"
"89","","Segment","b10","clear segment","0.792869582943","0.612668956250","0.502498962963","0.792381510215"
